sample_ID;samples_available;date;env;fecha;month;h;sampling; sample_v;Anos_total;Ostr_total;anos_L;ostr_L;salinity;cond;temp;pH;redox;od;chla;doy;doy_acc;season;season_det
2;both;12/11/2012;2_Pinol;12/11/2012;nov-12;13;1;5;191;1;38;0;1.2;16;13.5;8.6;315;11.3;5.4;317;317;autumn;autumn
4;both;12/11/2012;7_Rebollon;12/11/2012;nov-12;5;1;5;587;0;117;0;1;7.8;14.3;8.2;340;10.4;1.3;317;317;autumn;autumn
5;both;12/11/2012;6_Rollico;12/11/2012;nov-12;10;1;6;400;1;67;0;1.1;11.6;12.5;8.6;345;10.5;1.7;317;317;autumn;autumn
7;both;13/11/2012;z13_Salobral;13/11/2012;nov-12;20;1;3;0;0;0;0;3.3;31.7;5.9;9;341;9.4;2.9;318;318;autumn;autumn
8;both;13/11/2012;z12_Amarga_baja;13/11/2012;nov-12;5;1;5;6;0;1;0;0.9;4.6;6.3;8.2;339;12;1.2;318;318;autumn;autumn
9;both;13/11/2012;z11_Amarga_alta;13/11/2012;nov-12;10;1;5;36;7;7;1;1;4.7;8.6;7.9;326;11.8;0.5;318;318;autumn;autumn
10;both;13/11/2012;8_Pito;13/11/2012;nov-12;15;1;5;4;1;1;0;1.5;18.3;13.9;7.8;330;11.7;6.2;318;318;autumn;autumn
11;both;13/11/2012;4_Camaron;13/11/2012;nov-12;40;1;5;0;0;0;0;1.2;14.2;11.7;8.3;305;12.2;0.5;318;318;autumn;autumn
12;both;13/11/2012;z10_Playa;13/11/2012;nov-12;10;1;1;0;0;0;0;2.1;26.3;14.4;8.8;306;12;1.2;318;318;autumn;autumn
13;both;13/11/2012;9_Salineta;13/11/2012;nov-12;13;1;1;0;0;0;0;6.9;66.3;13.1;9.2;278;10.6;79.8;318;318;autumn;autumn
14;both;04/12/2012;1_Guallar;04/12/2012;dic-12;10;2;5;8;0;2;0;4;40;10.5;8.1;350;10.6;3.7;339;339;autumn;late-autumn
15;both;04/12/2012;2_Pinol;04/12/2012;dic-12;10;2;5;41;0;8;0;2;21.6;12;8.3;305;10.6;8.4;339;339;autumn;late-autumn
17;both;04/12/2012;3_Muerte;04/12/2012;dic-12;2;2;3;0;0;0;0;3.4;37.8;12;8.1;312;10.3;5.2;339;339;autumn;late-autumn
18;both;04/12/2012;6_Rollico;04/12/2012;dic-12;10;2;3;0;0;0;0;2;20.4;10;8.1;318;10.3;6.7;339;339;autumn;late-autumn
19;both;04/12/2012;7_Rebollon;04/12/2012;dic-12;5;2;5;0;0;0;0;1.8;15.7;9.1;8.1;280;10.9;1.3;339;339;autumn;late-autumn
20;both;04/12/2012;5_Pez;04/12/2012;dic-12;4;2;12;2;0;0;0;2.1;21.7;8.1;8;287;11.1;4.2;339;339;autumn;late-autumn
21;both;05/12/2012;z12_Amarga_baja;05/12/2012;dic-12;2;2;5;5;0;1;0;1.2;7.8;5.9;7.9;242;11.9;0.7;340;340;autumn;late-autumn
22;both;05/12/2012;z11_Amarga_alta;05/12/2012;dic-12;5;2;5;6;0;1;0;1.2;8.1;7.8;7.9;290;11.3;0.6;340;340;autumn;late-autumn
23;both;05/12/2012;8_Pito;05/12/2012;dic-12;4;2;3;0;0;0;0;2.3;25;9.2;8;302;10.7;2.3;340;340;autumn;late-autumn
24;both;05/12/2012;z10_Playa;05/12/2012;dic-12;15;2;5;0;0;0;0;3;31;8.5;8.2;303;11.5;0.4;340;340;autumn;late-autumn
25;both;05/12/2012;9_Salineta;05/12/2012;dic-12;25;2;5;0;0;0;0;7.8;77.1;8.2;9;286;12.1;237.4;340;340;autumn;late-autumn
26;both;05/12/2012;z13_Salobral;05/12/2012;dic-12;30;2;5;0;0;0;0;3.2;31.3;8;8.8;275;13.5;1.7;340;340;autumn;late-autumn
27;both;09/01/2013;1_Guallar;09/01/2013;ene-13;8;3;5;30;0;6;0;6;65.3;4.5;8.4;225;12.8;0.9;9;375;winter;winter
28;both;09/01/2013;2_Pinol;09/01/2013;ene-13;10;3;5;0;0;0;0;4;32.5;5.5;8.7;206;13.3;1.4;9;375;winter;winter
29;both;09/01/2013;3_Muerte;09/01/2013;ene-13;5;3;5;4;0;1;0;5.8;65.6;7.8;8.2;260;12.3;0.9;9;375;winter;winter
30;both;09/01/2013;4_Camaron;09/01/2013;ene-13;40;3;4;2;0;1;0;2.5;27;7;8.3;250;12.6;6;9;375;winter;winter
31;both;09/01/2013;6_Rollico;09/01/2013;ene-13;5;3;6;18;29;3;5;3.3;37.8;9.5;8.4;238;12.2;0.7;9;375;winter;winter
32;only_16S;09/01/2013;7_Rebollon;09/01/2013;ene-13;3;3;5;220;11;44;2;2.4;27.2;9.5;8.8;245;14.6;1;9;375;winter;winter
33;both;09/01/2013;5_Pez;09/01/2013;ene-13;3;3;5;143;196;29;39;3.3;38;8.3;8.2;280;12.7;3.6;9;375;winter;winter
34;both;10/01/2013;z12_Amarga_baja;10/01/2013;ene-13;3;3;5;79;5;16;1;1.8;15.6;9.5;8;256;11.6;0.8;10;376;winter;winter
35;both;10/01/2013;z11_Amarga_alta;10/01/2013;ene-13;5;3;5;23;40;5;8;1.7;15.6;10;8;285;11.1;3;10;376;winter;winter
36;both;10/01/2013;8_Pito;10/01/2013;ene-13;10;3;5;0;28;0;6;3;36.5;12;8;295;10.5;4.2;10;376;winter;winter
37;both;10/01/2013;z10_Playa;10/01/2013;ene-13;30;3;5;1;0;0;0;4.5;49.7;11.3;8.4;270;11.6;0.5;10;376;winter;winter
38;both;10/01/2013;9_Salineta;10/01/2013;ene-13;50;3;5;0;0;0;0;10;94.3;12;8.7;275;11.8;71.3;10;376;winter;winter
39;both;10/01/2013;z13_Salobral;10/01/2013;ene-13;40;3;5;0;0;0;0;3.2;32;11;8.9;280;13.8;2.9;10;376;winter;winter
40;both;22/02/2013;1_Guallar;22/02/2013;feb-13;10;4;5;0;1;0;0;10.5;118.9;9.4;8.2;244;10.6;1.6;53;419;winter;winter
41;both;22/02/2013;z10_Playa;22/02/2013;feb-13;40;4;5;0;0;0;0;5.9;67;11;8.5;230.8;11.3;3.3;53;419;winter;winter
42;both;22/02/2013;9_Salineta;22/02/2013;feb-13;30;4;5;0;0;0;0;15;128.8;9.4;8.4;246.6;10.4;35.8;53;419;winter;winter
43;both;22/02/2013;z13_Salobral;22/02/2013;feb-13;30;4;5;0;3;0;1;3.7;35.6;10.1;8.9;210;11.5;3.8;53;419;winter;winter
44;both;23/02/2013;8_Pito;23/02/2013;feb-13;10;4;5;19;0;4;0;4.8;53.4;1.5;7.9;293.3;12.7;3.8;54;420;winter;winter
45;both;23/02/2013;5_Pez;23/02/2013;feb-13;10;4;5;0;0;0;0;2.3;26.6;2;8;285.5;12.5;2.1;54;420;winter;winter
46;only_16S;23/02/2013;4_Camaron;23/02/2013;feb-13;30;4;8;1;0;0;0;3.1;34.3;2.3;8;288.5;12.4;1.8;54;420;winter;winter
47;both;20/03/2013;1_Guallar;20/03/2013;mar-13;10;5;5;0;0;;;6.8;80.6;13.6;8.2;245;10.3;5.9;79;445;winter;late-winter
48;both;20/03/2013;2_Pinol;20/03/2013;mar-13;8;5;5;0;265;0;53;4;49.6;15;8.6;275;10.5;9.6;79;445;winter;late-winter
49;both;20/03/2013;3_Muerte;20/03/2013;mar-13;5;5;5;0;2;0;0;6.2;81.7;15.1;8.1;303;10.1;3.7;79;445;winter;late-winter
50;both;20/03/2013;4_Camaron;20/03/2013;mar-13;20;5;14;0;80;0;6;3.2;39.8;15.3;8.4;288;10.3;5.7;79;445;winter;late-winter
51;both;20/03/2013;6_Rollico;20/03/2013;mar-13;5;5;5;0;223;0;45;3.2;40.3;15.4;8.2;245;10;13.7;79;445;winter;late-winter
52;both;20/03/2013;7_Rebollon;20/03/2013;mar-13;5;5;5;0;0;0;0;2.2;26.2;14.8;9.1;258;10.5;13.2;79;445;winter;late-winter
53;both;20/03/2013;5_Pez;20/03/2013;mar-13;5;5;6;0;100;0;17;4;50.1;14;8.3;303.3;10.1;6.6;79;445;winter;late-winter
54;both;21/03/2013;z12_Amarga_baja;21/03/2013;mar-13;2;5;6;5;1;1;0;1.5;13.3;11.2;8.6;258;11.8;0.9;80;446;winter;late-winter
55;both;21/03/2013;z11_Amarga_alta;21/03/2013;mar-13;2;5;6;821;6;137;1;1;10.4;15;8.4;265;12.5;0.6;80;446;winter;late-winter
56;both;21/03/2013;8_Pito;21/03/2013;mar-13;5;5;5;0;2;0;0;3.8;45.4;13.9;8;240;11;6.1;80;446;winter;late-winter
57;both;21/03/2013;z10_Playa;21/03/2013;mar-13;30;5;5;0;0;0;0;5.8;67.5;16.3;8.6;250;12.4;5.9;80;446;winter;late-winter
58;both;21/03/2013;9_Salineta;21/03/2013;mar-13;30;5;5;0;0;0;0;11;107.5;16.1;8.4;270;10.1;40.9;80;446;winter;winter
59;only_16S;21/03/2013;z13_Salobral;21/03/2013;mar-13;50;5;5;0;1;0;0;3;31.3;16;8.9;230;10.8;15.5;80;446;winter;winter
60;both;16/04/2013;1_Guallar;16/04/2013;abr-13;3;6;5;0;1;0;0;16.9;166.4;23.3;7.9;270;8.8;2.9;106;472;spring;spring
61;both;16/04/2013;2_Pinol;16/04/2013;abr-13;5;6;5;0;404;0;81;7.8;102.2;24.9;8.8;235;10.6;6.3;106;472;spring;spring
62;both;16/04/2013;3_Muerte;16/04/2013;abr-13;1;6;2;0;10;0;5;32;207.4;32;7.3;290;7.4;2.1;106;472;spring;spring
63;both;16/04/2013;4_Camaron;16/04/2013;abr-13;10;6;14;0;33;0;2;4.3;68;29.5;9;220;12.3;4.2;106;472;spring;spring
64;both;16/04/2013;5_Pez;16/04/2013;abr-13;2;6;5;0;76;0;15;13.8;165.5;31;7.8;260;8.4;6.4;106;472;spring;spring
65;both;17/04/2013;8_Pito;17/04/2013;abr-13;3;6;5;0;451;0;90;7;94.1;22.1;8.1;325;9.7;6.6;107;473;spring;spring
66;both;17/04/2013;z10_Playa;17/04/2013;abr-13;40;6;5;0;0;0;0;10.1;124.4;23.5;8.1;312;9.4;3.8;107;473;spring;spring
67;both;17/04/2013;9_Salineta;17/04/2013;abr-13;15;6;5;0;0;0;0;24;156.8;28;8.1;188.6;9;23.8;107;473;spring;spring
68;both;17/04/2013;z13_Salobral;17/04/2013;abr-13;40;6;5;0;10;0;2;2.9;34.3;25.8;9.3;170;8.2;4.1;107;473;spring;spring
69;both;26/05/2013;1_Guallar;26/05/2013;may-13;0.5;7;;0;0;0;0;23;197.6;26.5;7.6;270;8.8;10;146;512;spring;spring
70;both;26/05/2013;2_Pinol;26/05/2013;may-13;1;7;;0;0;0;0;8.4;103;25.1;8.6;220;8.9;27.9;146;512;spring;spring
71;both;26/05/2013;4_Camaron;26/05/2013;may-13;5;7;;0;0;0;0;9.8;117.3;22.5;8.2;220;8.8;3.9;146;512;spring;spring
72;both;27/05/2013;6_Rollico;27/05/2013;may-13;2;7;;0;0;0;0;5.8;77.6;21.5;8.1;205;9.1;2.8;147;513;spring;spring
73;both;27/05/2013;5_Pez;27/05/2013;may-13;2;7;;0;0;0;0;6;79.1;21.5;8.1;200;9.1;6.7;147;513;spring;spring
74;both;26/05/2013;z10_Playa;26/05/2013;may-13;40;7;;0;0;0;0;10.6;117.6;17.5;8.7;225;9.2;14;146;512;spring;spring
75;both;26/05/2013;9_Salineta;26/05/2013;may-13;5;7;;0;0;0;0;23;152;19.1;8.2;235;12.9;85.7;146;512;spring;spring
76;both;26/05/2013;z13_Salobral;26/05/2013;may-13;40;7;;0;0;0;0;3.4;36.2;20;9.5;180;14.2;4.4;146;512;spring;spring
77;only_16S;26/05/2013;z14_Balsa_Molinos;26/05/2013;may-13;;7;;0;0;0;0;0.1;0.9;17.4;8.3;195;9.8;3;146;512;spring;spring
78;both;12/06/2013;8_Pito;12/06/2013;jun-13;0.2;8;3;0;0;0;0;28;;34.5;7.5;260;7.5;1.8;163;529;spring;late-spring
79;both;12/06/2013;z10_Playa;12/06/2013;jun-13;25;8;5;0;0;0;0;14.8;169.3;27.9;8.1;225;8.8;11.7;163;529;spring;late-spring
80;both;12/06/2013;9_Salineta;12/06/2013;jun-13;5;8;2;0;0;0;0;35;150.3;34;7.9;220;9.5;54.3;163;529;spring;late-spring
81;both;12/06/2013;z13_Salobral;12/06/2013;jun-13;40;8;5;0;0;0;0;3;42.4;30.3;9.1;190;11.5;2.8;163;529;spring;late-spring
82;only_16S;12/06/2013;z14_Balsa_Molinos;12/06/2013;jun-13;40;8;5;0;0;0;0;0.1;0.9;28.3;8.4;220;9.8;2.9;163;529;spring;late-spring
83;both;08/07/2013;z10_Playa;08/07/2013;jul-13;30;9;5;0;0;0;0;16.2;168.1;30;8.2;230;7.3;4;189;555;summer;summer
84;both;08/07/2013;9_Salineta;08/07/2013;jul-13;1;9;3;0;0;0;0;38;142;32.5;7.9;230;7.9;5.6;189;555;summer;summer
85;both;08/07/2013;z13_Salobral;08/07/2013;jul-13;30;9;5;0;2;0;0;3.8;47.1;29.6;8.8;122.6;8.1;5.4;189;555;summer;summer
86;both;08/07/2013;z14_Balsa_Molinos;08/07/2013;jul-13;40;9;7;0;0;0;0;0.1;1;29.3;8.4;210;8.7;1.3;189;555;summer;summer
88;both;09/10/2013;9_Salineta;09/10/2013;oct-13;1;11;1;0;0;0;0;40;143.3;18.8;7.7;265;8.9;2.4;282;648;autumn;autumn
90;both;27/11/2013;1_Guallar;27/11/2013;nov-13;10;12;5;0;0;0;0;2.8;26.2;2;8.1;250;12.1;1.1;331;697;autumn;autumn
91;only_16S;27/11/2013;2_Pinol;27/11/2013;nov-13;8;12;5;0;0;0;0;1.6;14.4;5;8;245;11.8;0.9;331;697;autumn;autumn
92;both;27/11/2013;3_Muerte;27/11/2013;nov-13;5;12;5;0;0;0;0;2;20.3;7.5;8.3;270;11.2;1.4;331;697;autumn;autumn
93;only_16S;27/11/2013;4_Camaron;27/11/2013;nov-13;15;12;14;0;0;0;0;2;22.7;10;8.3;270;10.9;9.5;331;697;autumn;autumn
94;both;27/11/2013;6_Rollico;27/11/2013;nov-13;5;12;5;0;0;0;0;0.8;5.6;9;8.1;305;11;1.9;331;697;autumn;autumn
95;both;27/11/2013;7_Rebollon;27/11/2013;nov-13;15;12;5;0;0;0;0;1;5.1;7.5;8.1;305;11.6;1.8;331;697;autumn;autumn
96;both;27/11/2013;5_Pez;27/11/2013;nov-13;2;12;5;0;0;0;0;1.1;8.5;5.2;8;320;11.6;1.1;331;697;autumn;autumn
97;both;28/11/2013;z12_Amarga_baja;28/11/2013;nov-13;4;12;5;0;0;0;0;0.9;4.3;1.5;9.2;280;11.7;5.5;332;698;autumn;autumn
98;only_16S;28/11/2013;z11_Amarga_alta;28/11/2013;nov-13;20;12;5;0;0;0;0;0.9;3.6;3;8.1;320;12.1;3.4;332;698;autumn;autumn
99;both;28/11/2013;8_Pito;28/11/2013;nov-13;10;12;5;0;0;0;0;1.2;12;3.5;8;295;12.6;1.1;332;698;autumn;autumn
100;both;28/11/2013;z10_Playa;28/11/2013;nov-13;40;12;5;0;0;0;0;5;58.1;4;8;280;11.7;0.8;332;698;autumn;autumn
101;both;28/11/2013;9_Salineta;28/11/2013;nov-13;10;12;5;0;0;0;0;7.5;67.5;7.4;;315;11.6;3.7;332;698;autumn;autumn
103;both;18/12/2013;1_Guallar;18/12/2013;dic-13;5;13;5;52;0;10;0;3.5;44.1;12.8;8.6;230;13.4;7;352;718;autumn;late-autumn
104;both;17/12/2013;2_Pinol;17/12/2013;dic-13;10;13;5;78;0;16;0;2.5;29.7;9;8.9;245;13.9;5.6;351;717;autumn;late-autumn
106;both;17/12/2013;4_Camaron;17/12/2013;dic-13;5;13;14;2213;0;158;0;3.1;38.5;9.1;8.6;235;14.1;1;351;717;autumn;late-autumn
107;both;18/12/2013;6_Rollico;18/12/2013;dic-13;5;13;5;225;0;45;0;1;13.3;11.3;8.8;230;11.5;2.8;352;718;autumn;late-autumn
108;only_16S;18/12/2013;7_Rebollon;18/12/2013;dic-13;3;13;5;23;0;5;0;1.1;12.4;10;9.1;242;12.6;27.1;352;718;autumn;late-autumn
109;both;18/12/2013;5_Pez;18/12/2013;dic-13;2;13;5;49;3;10;1;1.9;19.8;8.6;9;250;11.7;9.4;352;718;autumn;late-autumn
110;both;19/12/2013;z12_Amarga_baja;19/12/2013;dic-13;3;13;5;100;0;20;0;0.9;6.4;7.9;8.3;270;10.5;11.4;353;719;autumn;late-autumn
111;only_16S;19/12/2013;z11_Amarga_alta;19/12/2013;dic-13;5;13;5;44;0;9;0;0.9;5.3;7.5;8.2;275;10.9;6.8;353;719;autumn;late-autumn
112;only_16S;19/12/2013;8_Pito;19/12/2013;dic-13;5;13;5;223;52;45;10;1.7;20;6.7;8.3;275;11.6;1.4;353;719;autumn;late-autumn
113;both;18/12/2013;z10_Playa;18/12/2013;dic-13;25;13;2;227;0;114;0;6;78.3;8.5;8.4;144;12;8;352;718;autumn;late-autumn
114;both;18/12/2013;9_Salineta;18/12/2013;dic-13;10;13;5;0;0;0;0;9;85.6;11;8.4;245;15.7;54.7;352;718;autumn;late-autumn
116;both;22/01/2014;1_Guallar;22/01/2014;ene-14;6;14;6;0;0;0;0;5.8;67.4;8.5;8.4;265;11.6;1.7;22;753;winter;winter
117;only_16S;22/01/2014;2_Pinol;22/01/2014;ene-14;10;14;5;0;0;0;0;4.1;49;9;8.3;272;11.8;5.4;22;753;winter;winter
118;both;22/01/2014;3_Muerte;22/01/2014;ene-14;3;14;5;0;0;0;0;5.9;71.1;9.7;8.3;275;11.3;2.9;22;753;winter;winter
119;both;22/01/2014;4_Camaron;22/01/2014;ene-14;3;14;8;18;1000;2;125;4.6;59.2;11.4;8.3;270;10.8;4.3;22;753;winter;winter
120;both;23/01/2014;6_Rollico;23/01/2014;ene-14;6;14;5;815;410;163;82;2.1;28.7;11.3;8;290;10.6;10.6;23;754;winter;winter
122;both;23/01/2014;5_Pez;23/01/2014;ene-14;6;14;5;5;110;1;22;2.9;35;11.5;8;300;10.5;4.3;23;754;winter;winter
123;both;23/01/2014;z12_Amarga_baja;23/01/2014;ene-14;2;14;5;0;0;0;0;1.1;10.3;8;8;244;11.6;1.4;23;754;winter;winter
124;both;23/01/2014;z11_Amarga_alta;23/01/2014;ene-14;8;14;5;0;0;0;0;1;8.7;8.5;8;248;11.8;0.9;23;754;winter;winter
125;both;23/01/2014;8_Pito;23/01/2014;ene-14;8;14;5;40;586;8;117;2.8;34.5;11.2;8;304;10.8;2.7;23;754;winter;winter
126;both;22/01/2014;z10_Playa;22/01/2014;ene-14;30;14;5;0;0;0;0;6.6;86.4;10.8;8.6;285;11.5;6;22;753;winter;winter
127;both;23/01/2014;9_Salineta;23/01/2014;ene-14;15;14;5;0;0;0;0;11.2;105.2;12.2;8.8;278;11.1;201.5;23;754;winter;winter
128;both;22/01/2014;z14_Balsa_Molinos;22/01/2014;ene-14;40;14;5;0;0;0;0;0.3;0.7;8;9.1;240;12.1;9.7;22;753;winter;winter
129;both;14/03/2014;4_Camaron;14/03/2014;mar-14;1;15;5;0;0;0;0;15.4;164.7;10;8;242;9.7;46;73;804;winter;late-winter
130;both;14/03/2014;z10_Playa;14/03/2014;mar-14;25;15;5;0;0;0;0;11.5;134.9;10;8.4;215;9.9;29.6;73;804;winter;late-winter
131;both;14/03/2014;9_Salineta;14/03/2014;mar-14;10;15;5;0;0;0;0;24.2;167.9;10;8;235;10.7;95.5;73;804;winter;late-winter
133;both;30/04/2014;z10_Playa;30/04/2014;abr-14;20;16;5;0;0;0;0;21;194.5;25;8;215;10.1;23.6;120;851;spring;spring
134;both;30/04/2014;9_Salineta;30/04/2014;abr-14;1;16;2;0;0;0;0;37;129.3;24;7.8;235;7.8;87.3;120;851;spring;spring
135;both;30/04/2014;z14_Balsa_Molinos;30/04/2014;abr-14;30;16;5;0;0;0;0;0.1;0.8;21;8.8;200;10.7;2;120;851;spring;spring
136;both;22/12/2014;1_Guallar;22/04/2014;dic-14;10;17;5;1;0;0.2;0;3.95;42;7.9;8.35;145.5;10.65;2.5;356;1087;winter;early-winter
137;both;22/12/2014;2_Pinol;22/04/2014;dic-14;8;17;5;55;0;0;0;2.9;31.4;8.1;8.39;187.1;11.9;2.3;356;1087;winter;early-winter
138;both;22/12/2014;3_Muerte;22/04/2014;dic-14;6;17;5;0;0;0;0;4;44.8;8.4;8.61;224;12.8;1.5;356;1087;winter;early-winter
139;both;22/12/2014;4_Camaron;22/04/2014;dic-14;10;17;5;0;0;0;0;4.3;51.3;8.5;8.26;262;11.6;2.1;356;1087;winter;early-winter
140;both;22/12/2014;6_Rollico;22/04/2014;dic-14;4;17;5;66;0;13.2;0;1.8;18.36;8.7;8.28;261;12.8;1;356;1087;winter;early-winter
141;both;22/12/2014;7_Rebollon;22/04/2014;dic-14;3;17;5;521;0;104.2;0;1.5;14.57;8.9;8.8;225;14.3;1.6;356;1087;winter;early-winter
142;both;22/12/2014;5_Pez;22/04/2014;dic-14;5;17;5;90;0;18;0;1.6;17.68;8.1;8.42;279;13.1;3.2;356;1087;winter;early-winter
144;both;23/12/2014;9_Salineta;23/04/2014;dic-14;20;17;5;0;0;0;0;8.8;80.8;6;8.95;270;13;55.7;357;1088;winter;early-winter
145;both;23/12/2014;z10_Playa;23/04/2014;dic-14;40;17;5;0;0;0;0;4.9;55.6;6;8.71;295;11.78;5.2;357;1088;winter;early-winter
146;both;23/12/2014;8_Pito;23/04/2014;dic-14;15;17;5;6;0;1.2;0;2.8;30.7;6.1;8.21;335;11.75;1.5;357;1088;winter;early-winter
147;both;23/12/2014;z12_Amarga_baja;23/04/2014;dic-14;3;17;5;5;0;1;0;0.9;5.95;7.2;8.34;296;13.1;1.9;357;1088;winter;early-winter
148;both;23/12/2014;z11_Amarga_alta;23/04/2014;dic-14;25;17;8;52;1;6.5;0.13;1;6.95;6.3;8.25;299;11.06;1.2;357;1088;winter;early-winter
